N	F0	m	d_ms	d0	v0	prob	collision
8	3090	1904	228	8	53	0.240	0
5	1863	1057	228	15	80	0.350	0
8	1522	812	420	17	63	0.280	0
4	3779	1658	248	16	93	0.450	0
8	3245	1077	43	10	91	0.420	0
8	4619	1099	150	6	95	0.480	1
4	3350	1562	364	5	83	0.450	1
8	4182	1534	398	7	107	0.260	1
8	271	627	109	9	97	0.190	0
6	2161	1201	304	19	111	0.300	0
8	2072	582	4	5	92	0.230	1
4	859	695	434	11	97	0.270	0
5	2920	1454	480	12	84	0.470	1
5	3814	1525	132	18	119	0.100	0
4	3972	1303	253	13	53	0.100	0
6	117	1844	403	9	63	0.130	0
8	3369	1440	227	14	87	0.250	0
4	189	1754	394	16	97	0.330	0
5	3454	1244	100	10	88	0.310	0
6	3003	1806	86	9	106	0.470	0
3	1602	1995	58	12	52	0.320	0
6	3617	1948	221	10	102	0.430	0
8	814	790	230	10	62	0.450	0
3	451	1026	428	5	86	0.070	0
8	3502	1406	343	15	100	0.320	0
5	1107	1720	23	16	111	0.230	0
7	4329	1674	285	19	57	0.490	0
8	1055	1333	239	7	104	0.210	0
3	4316	1960	118	18	57	0.420	0
8	2254	852	217	16	104	0.080	0
7	3225	1990	293	18	83	0.460	0
5	4702	1846	125	10	51	0.390	0
3	3142	971	181	11	74	0.350	0
7	1640	1319	378	17	59	0.140	0
7	2454	1435	281	19	51	0.150	0
5	3262	1171	358	13	97	0.380	0
7	2137	1721	430	10	69	0.190	0
8	4178	528	298	15	94	0.180	0
6	2270	896	271	5	80	0.070	1
3	1247	668	410	12	80	0.250	0
7	4036	1902	1	16	57	0.390	0
8	2349	987	128	5	118	0.250	1
5	744	1492	77	6	64	0.140	0
7	2058	1053	483	7	59	0.460	1
4	4746	1430	121	12	72	0.390	0
3	3136	644	267	7	79	0.050	1
8	4944	1408	108	8	53	0.210	0
5	4503	1784	66	12	65	0.400	0
5	4551	1405	114	7	109	0.120	0
6	2844	551	250	17	94	0.420	0
3	2523	683	395	7	79	0.070	1
4	2313	770	123	8	76	0.470	0
5	4779	1312	281	11	100	0.330	0
8	3297	510	304	17	88	0.080	0
6	1712	974	379	16	107	0.110	0
8	1777	706	221	13	96	0.140	0
8	4184	545	169	17	94	0.280	0
3	4018	1147	357	14	102	0.250	0
7	1821	1977	383	18	107	0.010	0
6	4078	1355	137	15	108	0.490	0
7	1521	1869	444	12	97	0.270	0
3	4970	1610	189	7	79	0.340	1
7	2152	1315	12	16	103	0.390	0
4	4838	1240	297	8	85	0.060	1
5	3235	932	334	15	64	0.220	0
6	4610	1973	103	11	100	0.450	0
8	3480	1031	122	11	57	0.140	0
4	1916	718	279	11	62	0.080	0
7	1353	1947	313	13	96	0.230	0
3	4271	1666	401	19	91	0.170	0
6	4113	1513	401	12	105	0.190	1
6	606	842	324	15	53	0.320	0
4	3719	1783	173	8	81	0.490	0
7	3980	1507	37	12	61	0.320	0
4	2832	1536	222	14	114	0.210	0
6	401	1386	31	14	56	0.270	0
3	3649	1743	313	5	102	0.090	1
6	1731	1607	492	16	72	0.380	0
7	3504	852	91	9	57	0.270	0
4	1846	505	41	16	119	0.420	0
7	3333	1856	341	5	104	0.040	1
8	4567	1838	387	6	74	0.360	1
3	2090	1817	452	12	50	0.080	0
3	3521	1859	2	19	80	0.080	0
8	1842	508	472	11	104	0.470	1
8	2650	1851	333	17	119	0.480	0
4	2489	1765	62	9	55	0.400	0
3	2851	1267	115	16	69	0.060	0
7	3191	1501	238	15	74	0.240	0
5	191	1398	440	15	103	0.320	0
4	4830	543	222	17	53	0.290	0
8	3045	1621	265	17	115	0.380	0
8	1729	1106	152	7	60	0.320	0
3	3515	1092	287	18	94	0.110	0
8	181	615	142	18	114	0.120	0
8	1272	1804	255	18	88	0.420	0
4	2225	931	119	7	112	0.140	0
7	3096	1763	322	7	59	0.180	1
3	1934	1853	449	9	100	0.300	0
6	4758	1742	143	7	62	0.100	0
8	3166	1335	378	15	87	0.360	0
8	2626	692	364	12	95	0.450	1
3	3434	1627	361	10	87	0.490	1
5	3445	1352	208	6	50	0.240	0
8	4588	940	472	14	105	0.030	1
7	2291	769	232	11	50	0.250	0
6	3198	589	352	5	100	0.360	1
8	2431	613	482	18	91	0.100	0
8	1855	1420	91	6	92	0.110	0
8	4334	1288	47	17	100	0.400	0
7	3508	1450	391	17	90	0.150	0
6	2613	910	113	15	55	0.210	0
4	4465	605	434	11	53	0.050	0
4	4154	1630	247	15	85	0.270	0
8	1421	829	139	12	103	0.160	0
4	1980	1215	466	9	57	0.250	0
3	1543	1581	256	18	90	0.370	0
7	4435	1720	142	15	98	0.220	0
7	4010	1177	12	17	109	0.390	0
5	2304	912	407	17	69	0.260	0
6	2848	1097	26	14	61	0.160	0
7	1561	958	423	5	57	0.440	1
7	489	1031	452	13	62	0.220	0
4	2516	1276	338	6	94	0.270	1
3	2749	1757	44	11	103	0.270	0
8	593	1867	245	5	52	0.450	0
6	3076	1705	464	13	106	0.070	0
3	4671	568	201	9	86	0.370	1
6	1216	1601	171	7	111	0.350	0
3	2481	1883	417	19	109	0.350	0
4	3497	1136	192	8	90	0.480	1
6	3581	1463	321	8	64	0.490	1
4	4906	596	252	7	83	0.390	1
4	271	1903	307	14	51	0.210	0
6	510	545	406	16	93	0.280	0
7	2863	1763	190	15	71	0.120	0
8	4856	1867	187	17	100	0.150	0
6	2220	1199	454	16	61	0.480	0
3	3720	1996	277	8	63	0.290	0
7	2057	1726	455	5	119	0.110	1
5	267	1086	24	15	119	0.260	0
6	1894	1269	270	13	81	0.400	0
7	4800	1406	481	10	101	0.170	1
5	1974	1557	173	19	114	0.040	0
8	3453	1406	219	5	84	0.180	1
