ArriviDeFerrariAscensore6	ArriviDeFerrariAscensore7	ArriviDaDeFerrari6	ArriviDaDeFerrari7	PersoneSceseDalTreno6vsBrignole	PersoneSceseDalTreno7vsBrignole	IntervalloTreni6vsBrin	OccupazioneTreno6vsBrin	PersoneSaliteABordo6vsBrin	PersoneABordoPreDiscesa6vsBrin	PersoneSceseDalTreno6vsBrin	IntervalloTreni7vsBrin	OccupazioneTreno7vsBrin	PersoneSaliteABordo7vsBrin	PersoneABordoPreDiscesa7vsBrin	PersoneSceseDalTreno7vsBrin	mean_pass_t6	max_pass_t6	mean_pass_t7	max_pass_t7	Out
3.169037	2.118398	289.073768	195.159061	56.835706	36.22133	780	230.287329	16	224.5	10.212671	900	413.718869	13	409	8.281131	7.803889	41	5.790556	32	1
3.174049	5.740379	359.990787	541.011823	40.76802	69.452804	900	292.164099	79	217	3.835901	750	394.103188	81	327	13.896812	6.72	51	9.069444	40	1
5.122033	3.455584	500.815004	308.75107	20.543793	59.635121	630	275.48854	31	258	13.51146	900	112.021503	75	46	8.978497	7.36	39	5.327778	32	1
5.77214	4.405372	605.915247	427.04988	31.238324	11.760229	600	364.02816	50	315	0.97184	480	121.959025	44	88	10.040975	6.807222	36	5.789444	34	1
4.275135	4.955239	404.18425	497.107499	36.108103	41.259434	480	222.57577	45	185	7.42423	900	256.677534	70	200	13.322466	8.045556	41	7.343333	40	1
4.963174	5.638049	540.502331	631.358837	31.168548	14.707812	450	135.408995	28	113	5.591005	900	126.030963	25	112	10.969037	9.602778	49	9.985	51	1
5.699464	2.248725	520.598394	233.040235	50.086463	27.8465	420	256.961408	3.5	255.5	2.038592	600	381.5058	20	369	7.4942	6.112222	34	9.497222	42	1
5.272863	6.461256	549.146772	658.921643	33.027667	50.535746	420	309.695972	16.5	296	2.804028	315	285.829513	27	271	12.170487	9.293333	52	14.519444	56	1
4.249681	3.899034	442.850505	347.867823	9.665407	61.515665	900	291.719958	113	192	13.280042	900	105.24042	66	51	11.75958	2.613889	17	2.875	20	1
3.790897	3.787168	389.465949	373.608353	60.118353	15.345294	570	274.037005	63.5	220	9.462995	900	214.131501	110	106	1.868499	6.004444	32	5.384444	38	1
2.79185	4.448508	254.494619	391.955626	46.769319	61.45313	330	259.92425	26	227	1.07575	900	279.915759	20	266	6.084241	10.625	27	4.61	24	1
4.44122	0.748014	516.420083	69.639668	14.797974	10.150544	900	339.937181	166	180	6.062819	900	290.236704	92	209	10.763296	6.292222	37	7.172222	40	1
5.541556	2.803343	574.787697	259.205688	14.658652	10.793766	480	182.492883	17	167.5	2.007117	420	98.095533	38.5	69	9.404467	4.558889	21	6.101667	22	1
6.452103	3.291564	616.82428	328.745963	22.568286	23.404122	900	350.081764	26	325	0.918236	900	77.504312	10	75	7.495688	2.2	22	4.438889	20	1
2.737151	5.081126	281.010538	533.035418	9.959103	52.202205	900	103.375344	32	83	11.624656	900	157.42303	57	108	7.57697	6.323333	47	9.015556	48	1
4.061927	5.5017	388.983194	594.866191	32.477809	29.42744	420	250.487099	57	197	9.512901	900	109.174077	44	74	8.825923	4.058333	15	3.421111	12	1
4.986287	3.146784	513.809817	330.772733	23.636461	62.083051	900	311.168438	24	299	11.831562	900	358.069519	14	349	4.930481	5.403333	48	8.928889	59	1
3.928551	3.147937	445.879913	311.509538	59.316659	36.027783	480	176.296252	17.5	172.5	13.703748	900	147.812019	13	149	14.187981	10.364444	51	7.838889	55	1
3.97828	3.724935	436.260807	390.923737	36.116814	16.128864	900	414.056961	16	412	13.943039	900	330.733504	69	269	7.266496	3.731667	22	5.909444	24	1
4.775988	6.25383	528.253441	559.93466	7.988175	65.304992	900	371.098936	23	351	2.901064	420	129.510618	48	88.5	6.989382	4.559444	19	5.941111	23	1
4.20681	5.155934	415.905558	518.120366	59.033953	41.548668	315	269.591626	12	235	12.408374	450	78.456586	24.5	69	15.043414	8.530556	48	11.246111	52	1
6.561345	5.421999	565.478716	642.448941	35.346997	22.052244	390	254.609781	15	250	10.390219	390	74.307023	16	71	9.692977	12.099444	58	15.168333	66	1
5.238898	5.157188	614.241124	491.453058	35.184393	50.814535	900	284.766656	74	224	13.233344	900	291.603076	81	217	6.396924	9.796667	61	9.556667	57	1
4.326381	5.535812	433.997945	579.621466	15.187518	45.48847	630	117.946928	27.5	97	6.553072	900	101.093002	36	77	11.906998	5.396667	29	4.613333	30	1
5.353876	4.85363	533.78697	453.750848	14.000074	8.279931	285	286.62988	29	272	14.37012	300	245.950734	21	233	2.049266	6.057778	21	6.928333	21	1
4.877884	1.096632	415.659639	105.772861	34.227067	12.609327	900	201.916964	38	165	1.083036	900	139.197056	94	50	4.802944	6.652222	27	6.775	26	1
5.603415	5.408504	587.679086	517.506859	42.828464	30.409957	480	146.038574	34.5	127	15.461426	345	351.419965	30	331	6.580035	5.757222	16	6.971111	17	1
4.631312	2.049586	465.683619	201.574053	45.430281	50.16404	510	214.741812	21.5	200.5	7.258188	900	335.329999	24	321	9.670001	7.493889	35	6.275556	37	1
5.728891	1.767456	652.657406	174.548166	26.604047	29.093296	600	210.258194	48	166	3.741806	330	183.254622	49	147	12.745378	7.608889	53	12.486667	56	1
5.850186	1.388682	593.646541	120.972589	20.226122	50.644587	900	92.007736	54	50	11.992264	390	279.326219	52.5	242.5	15.673781	7.682778	59	8.82	56	1
6.013768	6.066946	627.815626	625.064545	60.345323	49.241458	900	61.35602	58	17	13.64398	375	221.173327	21	211	10.826673	5.282778	41	12.553333	51	1
5.543986	5.903513	570.341287	616.112557	57.465926	43.507229	330	117.80487	46.5	73.5	2.19513	285	175.961413	29	148	1.038587	5.341667	21	6.981111	27	1
5.053576	3.313976	515.170313	325.55861	55.026061	26.188072	570	279.492854	24	265.5	10.007146	900	358.389987	39	326	6.610013	8.971667	38	5.861111	26	1
6.243344	4.121935	645.198314	410.705233	33.543538	50.050028	390	77.765501	45	42	9.234499	450	297.648815	16.5	291	9.851185	9.085	45	11.195	49	1
6.150144	4.927696	553.968453	450.976087	45.87917	14.507579	900	292.219781	110	193	10.780219	600	333.419703	65	271.5	3.080297	6.740556	44	9.571111	36	1
5.561324	0.863772	540.827823	75.171036	25.80834	41.250668	900	77.373416	46	41	9.626584	900	167.023886	61	109	2.976114	7.774444	55	9.247778	54	1
3.498159	4.116538	360.552885	439.329319	0	54.760312	900	231.424053	115	125	8.575947	900	118.15569	86	46	13.84431	4.526111	17	7.506667	38	1
5.115034	5.604969	580.259905	553.3272	11.552529	45.554941	330	106.165916	32	58	8.834084	900	86.60282	21	74	8.39718	11.658889	58	7.804444	52	1
5.462419	1.763432	520.215686	181.564385	0	33.322107	330	188.525735	50	147	8.474265	390	390.829535	43	351	3.170465	10.476111	41	7.962222	37	1
3.956896	4.36509	344.193724	503.494845	25.000482	33.019721	900	283.816274	30	269	15.183726	600	227.042667	36	204.5	13.457333	4.422222	28	5.262222	30	1
5.47722	3.509068	579.189789	406.180365	67.263619	54.906841	900	51.63334	33	31	12.36666	900	129.923603	28	112	10.076397	2.882778	17	3.872778	12	1
5.359449	1.03467	545.095886	113.305569	44.575618	21.598737	900	156.160446	37	133	13.839554	900	271.865369	64	213	5.134631	8.455	23	6.891667	22	1
6.401541	2.804233	639.379454	275.679566	56.575076	18.427601	900	192.645824	46	151	4.354176	390	186.597226	38.5	157.5	9.402774	7.332222	34	7.992778	41	1
3.60555	4.481076	314.488817	442.39263	35.167883	41.408406	900	74.362849	4	77	6.637151	780	203.920784	45.5	166	7.579216	4.956667	58	6.135	53	1
6.212734	6.171251	578.827044	605.161471	26.874057	32.746648	900	258.106868	74	195	10.893132	900	62.970013	59	10	6.029987	8.961667	49	7.25	51	1
